Name,Batch No.,Barcode,Purchase Price,Selling Price,StockQuantity,StockValue
20MM LIGHT BALCO RPVC EC/ISI/GREEN,,215.020.001,10.99,13.12,600.0 MTR,6594.0
20MM LIGHT BALCO RPVC EC/ISI/I,,219.020.001,11.3,13.12,300.0 MTR,3390.0
20MM LIGHT BALCO SPRING,,250.020.041,128.05,143.88,11.0 PCS,1408.55
20MM MEDIUM BALCO PVC BEND ECF,,233.020.012,3.86,5.02,500.0 PCS,1930.0
20MM MEDIUM BALCO PVC BEND ECF/GREEN,,230.020.012,4.49,5.02,300.0 PCS,1347.0
20MM MEDIUM BALCO PVC BEND ECF/IVORY,,234.020.012,4.79,5.02,500.0 PCS,2395.0
20MM MEDIUM BALCO PVC LONG BEND ECF/ISI,,238.020.014,7.03,8.25,442.0 PCS,3107.26
20MM MEDIUM BALCO PVC LONG BEND ECF/ISI/IVORY,,239.020.014,7.39,8.25,362.0 PCS,2675.18
20MM MEDIUM BALCO RPVC EC/ISI/B,,218.020.002,13.39,15.84,7200.0 MTR,96408.0
20MM MEDIUM BALCO RPVC EC/ISI/I,,219.020.002,12.94,15.84,900.0 MTR,11646.0
20MM MEDIUM BALCO SPRING,,250.020.042,138.74,165.0,0.0 PCS,0.0
"20MM SDR 11 BALCO CPVC/ISI - (3/4"")",,269.020.077,53.48,62.87,0.0 MTR,0.0
25MM 10KG BALCO UPVC COUPLER WP/ISI/LG,,226.025.053,3.34,3.63,25.0 PCS,83.5
25MM 10KG BALCO UPVC ELBOW WP/ISI/LG,,226.025.051,5.0,5.61,120.0 PCS,600.0
25MM 10KG BALCO UPVC ENDCAP WP/ISI/LG,,226.025.055,2.67,2.97,155.0 PCS,413.85
25MM 10KG BALCO UPVC TEE WP/ISI/LG,,226.025.057,6.68,7.59,100.0 PCS,668.0
25MM 10KG BALCO UPVC WP/G,,201.025.100,15.97,18.81,0.0 MTR,0.0
25MM 10KG BALCO UPVC WP/ISI/LG,,206.025.100,16.06,20.05,650.0 MTR,10439.0
25MM 10KG BALCO UPVC WP/W,,202.025.100,14.75,18.81,100.0 MTR,1475.0
25MM 12.5KG BALCO UPVC WP/ISI/LG,,206.025.125,22.96,26.24,0.0 MTR,0.0
25MM BALCO CORRUGATED FLEXIBLE CONDUIT/B,,213.025.035,9.28,10.89,300.0 MTR,2784.0
25MM BALCO CORRUGATED FLEXIBLE CONDUIT/I,,214.025.035,11.82,13.86,0.0 MTR,0.0
25MM BALCO CORRUGATED FLEXIBLE CONDUIT/W,,212.025.035,0.0,13.86,0.0 MTR,0.0
